Pagetype,Assignee,ilanTarihi,kategori,marka,model,il,galeri_ID,ilanNo,photoCount,Fiyat,Detail_ContactNumberCount ,Detail_MessageContactStatus,Detail_850Status,Detail_PhoneContactStatus,Detail_Breadcrumb,Detail_CarSegment,ilan_no,ilan_tarihi,seri,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ort._yakit_tuketimi,yakit_deposu,boya-degisen,takasa_uygun,kimden,Etiket,motor_gucu_(kw),batarya_voltaji_(v),menzil,sarj_suresi,pil_kapasitesi_(kwh),plaka_uyrugu
Detail,3576537,20240224,Otomobil,Toyota,1.6 GLi,Kocaeli,3607997,24602773,13,335000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / GLi / ,C,24602773,24 Şubat 2024,Corolla,1997,238.500 km,Otomatik,LPG & Benzin,Sedan,Lacivert,1587 cc,114 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,,Sahibinden,,,,,,,
Detail,7605017,20240225,Otomobil,Toyota,1.6 XL,İstanbul,7680312,24608405,5,310000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / XL / ,C,24608405,25 Şubat 2024,Corolla,1994,385.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1587 cc,114 hp,Önden Çekiş,İkinci El,,,"2 değişen, 1 boyalı",Takasa Uygun,Sahibinden,,,,,,,
Detail,9541448,20240223,Otomobil,Toyota,1.6 XL,İstanbul,9615801,24591508,5,300000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / XL / ,C,24591508,23 Şubat 2024,Corolla,1993,430.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1587 cc,95 hp,Önden Çekiş,İkinci El,,50 lt,12 boyalı,,Sahibinden,,,,,,,
Detail,6432416,20240226,Otomobil,Toyota,1.6 Sol,Şanlıurfa,6508472,24080083,15,400000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Sol / ,,24080083,26 Şubat 2024,Corolla,2003,275.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),,,,İkinci El,,,"2 değişen, 8 boyalı",,Sahibinden,,,,,,,
Detail,9545563,20240224,Otomobil,Toyota,1.6 Sol Special,Osmaniye,9619914,24602699,15,420000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Sol Special / ,,24602699,24 Şubat 2024,Corolla,2000,215.000 km,Düz,LPG & Benzin,Sedan,Beyaz,,,,İkinci El,,,"1 değişen, 2 boyalı",,Sahibinden,,,,,,,
Detail,9535046,20240224,Otomobil,Toyota,1.6 Premium,Kayseri,9609406,24573183,12,857000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Premium / ,C,24573183,24 Şubat 2024,Corolla,2015,60.000 km,Düz,Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"6,3 lt",55 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,Düşük Km,,,,,,
Detail,9550738,20240226,Otomobil,Toyota,1.6 XEi Special,Eskişehir,9625087,24617450,15,355000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / XEi Special / ,,24617450,26 Şubat 2024,Corolla,1998,440.000 km,Düz,LPG & Benzin,Sedan,Lacivert,1587 cc,115 hp,Önden Çekiş,İkinci El,,,"1 değişen, 12 boyalı",Takasa Uygun,Sahibinden,,,,,,,
Detail,6768378,20240223,Otomobil,Toyota,1.6 Premium,Aksaray,6844309,24590515,13,910000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Premium / ,C,24590515,23 Şubat 2024,Corolla,2015,87.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"6,3 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,,,,,,,
Detail,9010152,20240221,Otomobil,Toyota,1.6 Linea Terra,Ordu,9084807,24575412,15,490000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Linea Terra / ,C,24575412,21 Şubat 2024,Corolla,2001,187.000 km,Düz,Benzin,Sedan,Kırmızı,1598 cc,110 hp,Önden Çekiş,İkinci El,7 lt,55 lt,Belirtilmemiş,,Sahibinden,,,,,,,
Detail,8670522,20240220,Otomobil,Toyota,1.6 GLi,Antalya,8744933,24560525,15,335000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / GLi / ,C,24560525,20 Şubat 2024,Corolla,1994,255.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1587 cc,114 hp,Önden Çekiş,İkinci El,,50 lt,"1 değişen, 11 boyalı",Takasa Uygun Değil,Sahibinden,,,,,,,
